,month,district,Crime Frequency
0,Jan,BAYVIEW,19147
1,Jan,CENTRAL,19600
2,Jan,INGLESIDE,16787
3,Jan,MISSION,26552
4,Jan,NORTHERN,24436
5,Jan,PARK,10686
6,Jan,RICHMOND,10009
7,Jan,SOUTHERN,34082
8,Jan,TARAVAL,14192
9,Jan,TENDERLOIN,17157
10,Feb,BAYVIEW,17097
11,Feb,CENTRAL,17562
12,Feb,INGLESIDE,15766
13,Feb,MISSION,23752
14,Feb,NORTHERN,21725
15,Feb,PARK,9497
16,Feb,RICHMOND,9262
17,Feb,SOUTHERN,30832
18,Feb,TARAVAL,12777
19,Feb,TENDERLOIN,15450
20,Mar,BAYVIEW,18851
21,Mar,CENTRAL,19494
22,Mar,INGLESIDE,17156
23,Mar,MISSION,26042
24,Mar,NORTHERN,23954
25,Mar,PARK,10773
26,Mar,RICHMOND,10216
27,Mar,SOUTHERN,34403
28,Mar,TARAVAL,14317
29,Mar,TENDERLOIN,17125
30,Apr,BAYVIEW,17587
31,Apr,CENTRAL,19188
32,Apr,INGLESIDE,16185
33,Apr,MISSION,25094
34,Apr,NORTHERN,22955
35,Apr,PARK,10918
36,Apr,RICHMOND,10050
37,Apr,SOUTHERN,33167
38,Apr,TARAVAL,13804
39,Apr,TENDERLOIN,16000
40,May,BAYVIEW,17877
41,May,CENTRAL,18334
42,May,INGLESIDE,15645
43,May,MISSION,24840
44,May,NORTHERN,22436
45,May,PARK,10330
46,May,RICHMOND,9989
47,May,SOUTHERN,33238
48,May,TARAVAL,13810
49,May,TENDERLOIN,16180
50,Jun,BAYVIEW,16699
51,Jun,CENTRAL,17908
52,Jun,INGLESIDE,14302
53,Jun,MISSION,23019
54,Jun,NORTHERN,20996
55,Jun,PARK,9534
56,Jun,RICHMOND,9048
57,Jun,SOUTHERN,32185
58,Jun,TARAVAL,12332
59,Jun,TENDERLOIN,14695
60,Jul,BAYVIEW,17428
61,Jul,CENTRAL,19681
62,Jul,INGLESIDE,15068
63,Jul,MISSION,23711
64,Jul,NORTHERN,22434
65,Jul,PARK,9758
66,Jul,RICHMOND,9133
67,Jul,SOUTHERN,33154
68,Jul,TARAVAL,12322
69,Jul,TENDERLOIN,15332
70,Aug,BAYVIEW,17906
71,Aug,CENTRAL,19148
72,Aug,INGLESIDE,15148
73,Aug,MISSION,24691
74,Aug,NORTHERN,22712
75,Aug,PARK,10357
76,Aug,RICHMOND,9632
77,Aug,SOUTHERN,34840
78,Aug,TARAVAL,12891
79,Aug,TENDERLOIN,16398
80,Sep,BAYVIEW,17292
81,Sep,CENTRAL,18448
82,Sep,INGLESIDE,15365
83,Sep,MISSION,24252
84,Sep,NORTHERN,21407
85,Sep,PARK,10092
86,Sep,RICHMOND,9380
87,Sep,SOUTHERN,33826
88,Sep,TARAVAL,13201
89,Sep,TENDERLOIN,15726
90,Oct,BAYVIEW,18160
91,Oct,CENTRAL,19399
92,Oct,INGLESIDE,16071
93,Oct,MISSION,25352
94,Oct,NORTHERN,22945
95,Oct,PARK,10466
96,Oct,RICHMOND,9813
97,Oct,SOUTHERN,33578
98,Oct,TARAVAL,13793
99,Oct,TENDERLOIN,16005
100,Nov,BAYVIEW,16636
101,Nov,CENTRAL,17347
102,Nov,INGLESIDE,14587
103,Nov,MISSION,23678
104,Nov,NORTHERN,21653
105,Nov,PARK,9726
106,Nov,RICHMOND,8776
107,Nov,SOUTHERN,30593
108,Nov,TARAVAL,12902
109,Nov,TENDERLOIN,14779
110,Dec,BAYVIEW,16049
111,Dec,CENTRAL,17853
112,Dec,INGLESIDE,14565
113,Dec,MISSION,22089
114,Dec,NORTHERN,21576
115,Dec,PARK,8933
116,Dec,RICHMOND,8959
117,Dec,SOUTHERN,30336
118,Dec,TARAVAL,12369
119,Dec,TENDERLOIN,14187
